timestamp,heart_rate_1,respiration_rate_1,mss1,heart_rate_2,respiration_rate_2,mss2
2020-10-11 20:59:00+00:00,0.0,0.0,432.96666666666664,0.0,0.0,372.73333333333335
2020-10-11 21:00:00+00:00,0.0,0.0,412.8333333333333,0.0,0.0,363.96666666666664
2020-10-11 21:01:00+00:00,0.0,0.0,415.93333333333334,0.0,0.0,385.26666666666665
2020-10-11 21:02:00+00:00,0.0,0.0,397.26666666666665,0.0,0.0,349.81666666666666
2020-10-11 21:03:00+00:00,0.0,0.0,385.05,0.0,0.0,338.05
2020-10-11 21:04:00+00:00,0.0,0.0,405.5833333333333,0.0,0.0,364.7
2020-10-11 21:05:00+00:00,0.0,0.0,376.65,0.0,0.0,369.65
2020-10-11 21:06:00+00:00,0.0,0.0,406.71666666666664,0.0,0.0,352.73333333333335
2020-10-11 21:07:00+00:00,0.0,0.0,361.26666666666665,0.0,0.0,343.35
2020-10-11 21:08:00+00:00,0.0,0.0,384.28333333333336,0.0,0.0,346.8666666666667
2020-10-11 21:09:00+00:00,0.0,0.0,377.25,0.0,0.0,347.03333333333336
2020-10-11 21:10:00+00:00,0.0,0.0,419.5,0.0,0.0,370.6666666666667
2020-10-11 21:11:00+00:00,0.0,0.0,393.81666666666666,0.0,0.0,359.96666666666664
2020-10-11 21:12:00+00:00,0.0,0.0,389.96666666666664,0.0,0.0,349.6166666666667
2020-10-11 21:13:00+00:00,0.0,0.0,393.25,0.0,0.0,383.53333333333336
2020-10-11 21:14:00+00:00,0.0,0.0,379.46666666666664,0.0,0.0,386.3
2020-10-11 21:15:00+00:00,0.0,0.0,380.9,0.0,0.0,386.05
2020-10-11 21:16:00+00:00,0.0,0.0,354.18333333333334,0.0,0.0,361.53333333333336
2020-10-11 21:17:00+00:00,0.0,0.0,399.31666666666666,0.0,0.0,362.46666666666664
2020-10-11 21:18:00+00:00,0.0,0.0,401.46666666666664,0.0,0.0,372.65
2020-10-11 21:19:00+00:00,0.0,0.0,367.01666666666665,0.0,0.0,353.9166666666667
2020-10-11 21:20:00+00:00,0.0,0.0,388.6,0.0,0.0,367.28333333333336
